dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
16,1,1.397958517074585,16,1,1.9383907318115234,15,,,,1,0.29866743087768555,16,1,0.5730459690093994,15,,,,135.46875,180.0,
32,1,1.9295740127563477,23,1,2.6025235652923584,17,,,,1,0.4384763240814209,23,1,0.98732590675354,17,,,,191.8125,209.25,
64,1,2.3795931339263916,26,1,3.492626667022705,14,,,,1,0.5756745338439941,26,1,1.4244747161865234,14,,,,215.947265625,177.1875,
128,1,2.9673044681549072,27,1,4.651404619216919,14,,,,1,0.7146139144897461,27,1,2.3322393894195557,14,,,,223.986328125,178.59375,
256,1,3.881861686706543,27,1,7.078346252441406,13,,,,1,0.8897418975830078,27,1,3.867868661880493,13,,,,223.99658203125,167.34375,
512,1,5.19333028793335,27,1,11.226876735687256,12,,,,1,1.127270221710205,27,1,6.623015403747559,12,,,,223.9991455078125,155.6953125,
1024,1,10.860038042068481,27,1,21.344553232192993,11,,,,1,1.9355418682098389,27,1,12.107903242111206,11,,,,223.99978637695312,143.859375,
2048,1,31.47374415397644,28,1,47.22046160697937,10,,,,1,5.014553546905518,28,1,20.526689291000366,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.29481005668640137,200,,,,,,,1,0.03718256950378418,200,,,201.0
21,,,,,,,1,0.30058884620666504,300,,,,,,,1,0.041902780532836914,300,,,301.0
27,,,,,,,1,0.3127882480621338,400,,,,,,,1,0.04754042625427246,400,,,401.0
35,,,,,,,1,0.331317663192749,800,,,,,,,1,0.06523442268371582,800,,,801.0
